Date,RI_4,RI_4_QC,RI_8,RI_8_QC
6/13/2025,0.67,Q2,0.58,Q1
6/12/2025,0.75,Q4,0.58,Q2
6/11/2025,0.83,Q2,0.58,Q1
6/10/2025,0.58,Q1,0.67,Q1
6/9/2025,0.5,Q1,0.75,Q1
6/6/2025,0.67,Q1,0.75,Q1
6/5/2025,0.83,Q1,0.92,Q2
6/4/2025,0.83,Q4,0.75,Q4
6/3/2025,0.58,Q2,0.67,Q2
6/2/2025,0.58,Q4,0.67,Q3
5/30/2025,0.75,Q4,0.58,Q3
5/29/2025,0.67,Q3,0.67,Q3
5/28/2025,0.5,Q0,0.58,Q0
5/27/2025,0.42,Q1,0.58,Q1
5/26/2025,0.83,Q1,0.75,Q2
5/23/2025,0.75,Q1,0.58,Q3
5/22/2025,0.75,Q3,0.5,Q4
5/21/2025,0.92,Q4,0.58,Q4
5/20/2025,0.83,Q3,0.67,Q4
5/19/2025,0.5,Q3,0.58,Q3
5/16/2025,0.33,Q4,0.42,Q3
5/15/2025,0.67,Q4,0.33,Q2
5/14/2025,0.5,Q2,0.5,Q2
5/13/2025,0.42,Q1,0.42,Q1
5/12/2025,0.33,Q1,0.58,Q1
5/9/2025,0.5,Q1,0.83,Q1
5/8/2025,0.58,Q1,0.75,Q1
5/7/2025,0.5,Q3,0.67,Q3
5/6/2025,0.67,Q4,0.58,Q3
5/5/2025,0.67,Q4,0.75,Q3
